grp,a,a_se,k,k_se,m,n,rmse,nrmse_avg
Populus x canadensis,283.5419,15.5697,0.1618,0.0197,4,25,36.2065,0.5892
Populus x canescens,84.0677,NA,11.0973,NA,4,25,64.7724,0.7931
Populus x xiaozhuanica,NA,NA,NA,NA,4,NA,NA,NA
Prunus sibirica,NA,NA,NA,NA,4,NA,NA,NA
Pseudolarix amabilis,28.0839,NA,14.5823,NA,4,NA,NA,NA
Pseudotsuga menziesii,197.5686,16.6223,0.0633,0.0044,4,25,38.3665,0.4865
Pterocarpus marsupium,NA,NA,NA,NA,4,NA,NA,NA
Pterocarya stenoptera,54.2206,NA,5.4646,NA,4,NA,NA,NA
Quercus acutissima,12.6286,NA,6.6925,NA,4,25,7.776,0.6034
Quercus aliena var. acutiserrata,119.6277,NA,2.8626,NA,4,NA,NA,NA
Quercus cerris,117.0601,NA,4.5759,NA,4,NA,NA,NA
Quercus glauca,NA,NA,NA,NA,4,NA,NA,NA
Quercus petraea,28.7931,NA,7.6891,NA,4,NA,NA,NA
Quercus robur,205.9499,60.0287,0.0423,0.0059,4,25,28.0585,0.6534
Quercus rubra,65.5989,NA,3.3808,NA,4,NA,NA,NA
Quercus serrata,NA,NA,NA,NA,4,NA,NA,NA
Quercus spp.,40.7157,NA,3.7556,NA,4,NA,NA,NA
Quercus variabilis,21.9614,NA,22.9231,NA,4,25,7.0284,0.3414
Robinia pseudoacacia,52.2742,6.1812,0.1924,0.0293,4,25,25.0713,0.662
Sabina przewalskii,NA,NA,NA,NA,4,NA,NA,NA
Salix matsudana,38.6906,8.4058,1.5165,289.8702,4,25,12.9264,0.3024
Sassafras tzumu,34.8854,8.0293,1.2979,2015.4395,4,25,17.9067,0.6524
Schima superba,NA,NA,NA,NA,4,NA,NA,NA
Shorea robusta,230.3748,75.688,0.0664,0.0191,4,NA,NA,NA
Sloanea sinensis,NA,NA,NA,NA,4,NA,NA,NA
Sonneratia apetala,13.3458,4.0296,0.3601,0.1393,4,NA,NA,NA
Sonneratia caseolaris,15.5406,9.3302,7.9085,779489.0685,4,NA,NA,NA
Stryphnodendron microstachyum,NA,NA,NA,NA,4,NA,NA,NA
Swietenia macrophylla,NA,NA,NA,NA,4,NA,NA,NA
Swietenia mahagoni,NA,NA,NA,NA,4,NA,NA,NA
Syzygium grande,NA,NA,NA,NA,4,NA,NA,NA
Tabebuia rosea,NA,NA,NA,NA,4,NA,NA,NA
Taiwania flousiana,24.8096,NA,2.8791,NA,4,NA,NA,NA
Tectona grandis,232.8362,77.6012,0.0852,0.017,4,25,59.2267,1.0502
Terminalia amazonia,68.1573,10.9758,0.2656,0.1012,4,25,37.2112,0.8219
Terminalia arjuna,NA,NA,NA,NA,4,NA,NA,NA
Terminalia superba,50.7263,NA,4.7785,NA,4,NA,NA,NA
Thuja plicata,NA,NA,NA,NA,4,NA,NA,NA
Thujopsis dolabrata,NA,NA,NA,NA,4,NA,NA,NA
Tilia cordata,NA,NA,NA,NA,4,NA,NA,NA
Tilia platyphyllos,NA,NA,NA,NA,4,NA,NA,NA
Trema tomentosa,NA,NA,NA,NA,4,NA,NA,NA
Tsoongiodendron odorum,NA,NA,NA,NA,4,NA,NA,NA
Tsuga heterophylla,NA,NA,NA,NA,4,NA,NA,NA
Ulmus pumila,86.1637,18.1756,0.1766,0.054,4,25,47.3137,1.0452
Virola koschnyi,22.4484,NA,7.6698,NA,4,25,15.269,0.63
Vochysia ferruginea,26.5613,NA,19.2633,NA,4,25,9.0603,0.3503
Vochysia guatemalensis,42.4032,1.8078,0.4964,0.0844,4,25,9.6946,0.2517
Zenia insignis,NA,NA,NA,NA,4,NA,NA,NA
Abies grandis,128.6398,NA,3.7404,NA,4,NA,NA,NA
Abies sachalinensis,42.0319,NA,4.4318,NA,4,NA,NA,NA
Acacia auriculiformis,65.7047,13.7124,0.365,0.1945,4,25,52.22,0.8344
Acacia catechu,NA,NA,NA,NA,4,NA,NA,NA
Acacia confusa,NA,NA,NA,NA,4,NA,NA,NA
Acacia crassicarpa,21.6195,6.4353,0.5873,0.1358,4,25,7.4676,0.5945
Acacia dealbata,NA,NA,NA,NA,4,NA,NA,NA
Acacia farnesiana,NA,NA,NA,NA,4,NA,NA,NA
Acacia mangium,77.1901,8.2369,0.4214,0.0424,4,25,24.5862,0.4041
Acacia mearnsii,42.3,5.1119,0.4409,0.1046,4,25,16.657,0.5561
Acacia nilotica,66.4392,20.1531,0.5696,0,4,NA,NA,NA
Acacia polystachya,NA,NA,NA,NA,4,NA,NA,NA
Aegiceras corniculatum,NA,NA,NA,NA,4,NA,NA,NA
Ailanthus triphysa,NA,NA,NA,NA,4,NA,NA,NA
